X,Y,Current,styrkur,type,flow,vertex_index,vertex_part,vertex_part_index,distance,angle
-24.9825834839523,66.9427282829415,NIJ,"3",Arctic,u,"22","0","22",15.07975128070244,255.21602837604951
-26.369884535183,66.7078256242628,NIJ,"3",Arctic,u,"23","0","23",16.48679906446817,258.35518358882206
-27.0377248086824,66.5452797536947,NIJ,"3",Arctic,u,"24","0","24",17.17413580213502,254.00596023496837
-27.6926599561239,66.32856886748,NIJ,"3",Arctic,u,"25","0","25",17.86399350888194,248.28832824206816
-28.9025155240576,65.7614569737543,NIJ,"3",Arctic,u,"26","0","26",19.20016954341686,244.88547198816471
-18.3525749716755,67.5257383512043,EIC,"3",Arctic,o,"0","0","0",0.00000000000000,96.77838706460486
-17.6040776603138,67.4367717980527,EIC,"3",Arctic,o,"1","0","1",0.75376605965997,102.09538680541839
-16.4426163150975,67.0725161060093,EIC,"3",Arctic,o,"2","0","2",1.97100665445536,100.92408509376978
-14.6229935409251,66.9313605491463,EIC,"3",Arctic,o,"3","0","3",3.79609622253685,96.97682086054566
-13.7454449689839,66.7842280910695,EIC,"3",Arctic,o,"4","0","4",4.68589364686212,103.38358037984445
-13.384101439361,66.6720327645208,EIC,"3",Arctic,o,"5","0","5",5.06425450332018,111.55855206077187
-12.7904656406949,66.3841908602996,EIC,"3",Arctic,o,"6","0","6",5.72399416658419,118.99054100354786
-12.5839836237675,66.254598231931,EIC,"3",Arctic,o,"7","0","7",5.96777495467436,128.34145099635913
-12.2226400941446,65.8986428112981,EIC,"3",Arctic,o,"8","0","8",6.47499621593836,125.83182292576733
-11.9129170687536,65.7401902904298,EIC,"3",Arctic,o,"9","0","9",6.82289785983630,111.17690490292217
-11.1127992531601,65.5219063231868,EIC,"3",Arctic,o,"10","0","10",7.65225689498663,98.19442538201034
-10.0287686642915,65.5005417501841,EIC,"3",Arctic,o,"11","0","11",8.73649799482671,87.50961899518448
-8.30449035842762,65.6851130745851,EIC,"3",Arctic,o,"12","0","12",10.47062666648400,83.89017260791914
-19.9329274962207,63.4804157803052,ICC,"1",local,o,"0","0","0",0.00000000000000,270.72900119106026
-20.3498557908051,63.485720841661,ICC,"1",local,o,"1","0","1",0.41696204443703,277.67542210512113
-20.4142271427006,63.5025145310348,ICC,"1",local,o,"2","0","2",0.48348797131995,288.08239906338508
-20.4746371806333,63.5263630105927,ICC,"1",local,o,"3","0","3",0.54843504716059,294.55055218974843
-20.5726797012125,63.5775272505599,ICC,"1",local,o,"4","0","4",0.65902489883315,294.41340516884003
-20.7400452161407,63.6426749015995,ICC,"1",local,o,"5","0","5",0.83862287216011,289.31180746676330
-21.0321921208971,63.7339760101476,ICC,"1",local,o,"6","0","6",1.14470408096068,284.32113765803814
-21.1946059933718,63.7663921316215,ICC,"1",local,o,"7","0","7",1.31032132312963,278.05850929106663
-21.3966330054745,63.7834622699654,ICC,"1",local,o,"8","0","8",1.51306821766126,272.75875635699271
-21.5788534477632,63.7856498670509,ICC,"1",local,o,"9","0","9",1.69530179077253,268.96416874022424
-21.7422576487286,63.7777739068692,ICC,"1",local,o,"10","0","10",1.85889568931990,265.65239213162050
-22.3869614961739,63.7107437973554,ICC,"1",local,o,"11","0","11",2.50707474366543,265.98768046593608
-22.6394952613023,63.7015327874335,ICC,"1",local,o,"12","0","12",2.75977643585147,270.09126687471979
-22.8385512879329,63.7094283058211,ICC,"1",local,o,"13","0","13",2.95898898803774,277.70063584923741
-22.9306518375679,63.7309113393835,ICC,"1",local,o,"14","0","14",3.05356188042304,290.48332186739634
-22.9970038464448,63.7659492775281,ICC,"1",local,o,"15","0","15",3.12859684688148,307.89652409335935
-23.0415686285263,63.8153675288815,ICC,"1",local,o,"16","0","16",3.19514144372294,330.88280273488061
-23.0574138843774,63.8699405481047,ICC,"1",local,o,"17","0","17",3.25196825570577,346.53600556885863
-23.0801914396635,63.9900580632412,ICC,"1",local,o,"18","0","18",3.37422632074597,354.00888686351391
-23.0811817681542,64.0356311602484,ICC,"1",local,o,"19","0","19",3.41981017667487,17.61556711233259
-23.0593945413588,64.0651007081365,ICC,"1",local,o,"20","0","20",3.45645901709527,40.73586258546279
-22.9573907068168,64.1671197902046,ICC,"1",local,o,"21","0","21",3.60072500535068,47.70254553863896
-22.8266673460445,64.2752275435312,ICC,"1",local,o,"22","0","22",3.77035956368396,43.60057400172794
-22.7801219069816,64.3374647407372,ICC,"1",local,o,"23","0","23",3.84807665712944,32.98857373622298
-22.7375377818815,64.4137057596023,ICC,"1",local,o,"24","0","24",3.93540420529226,23.53734288978118
-22.7157505550861,64.481203353799,ICC,"1",local,o,"25","0","25",4.00633098777801,10.64990357022219
